"","date","experiment","round","assay","condition","control","plate","row","col","strain","set","trait","phenotype"
"35","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","3","QX311",2,"median.EXT",604.775492415001
"36","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","3","QX358",2,"median.EXT",-82.6097836125593
"37","20140624","RIAILs",1,"m","carmustine","halfpercDMSO",2,"A","3","QX486",2,"median.EXT",29.0419270283816
"38","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","3","QX171",1,"median.norm.EXT",0.249775815322401
"39","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","3","QX112",1,"median.norm.EXT",-0.040897135053654
"40","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","3","QX250",2,"median.norm.EXT",0.16190754330449
"41","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","3","N2",NA,"median.norm.EXT",-0.0722881047638776
"42","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"A","3","QX299",2,"median.norm.EXT",0.096481608095049
"43","20140527","RIAILs",1,"j","carmustine","halfpercDMSO",2,"A","3","QX198",1,"median.norm.EXT",0.269627564091086
"44","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","3","QX311",2,"median.norm.EXT",0.649074984648156
"45","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","3","QX358",2,"median.norm.EXT",0.0419348309883715
"46","20140624","RIAILs",1,"m","carmustine","halfpercDMSO",2,"A","3","QX486",2,"median.norm.EXT",0.310951735946897
"47","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","3","QX171",1,"median.TOF",-12.494473542249
"48","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","3","QX112",1,"median.TOF",28.6527828267369
"49","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","3","QX250",2,"median.TOF",-53.9638924708363
"50","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","3","N2",NA,"median.TOF",-10.1053106622424
"51","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"A","3","QX299",2,"median.TOF",9.36644980312077
"52","20140527","RIAILs",1,"j","carmustine","halfpercDMSO",2,"A","3","QX198",1,"median.TOF",4.14754918218087
"53","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","3","QX311",2,"median.TOF",145.459867247371
"54","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","3","QX358",2,"median.TOF",-42.9565721950365
"55","20140624","RIAILs",1,"m","carmustine","halfpercDMSO",2,"A","3","QX486",2,"median.TOF",-8.90730662747991
"56","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","3","QX171",1,"norm.n",-4.33721357142234
"57","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","3","QX112",1,"norm.n",21.0712254362077
"58","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","3","QX250",2,"norm.n",-12.6593309586371
"59","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","3","N2",NA,"norm.n",17.7323522940612
"60","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"A","3","QX299",2,"norm.n",-4.30429414911934
"61","20140527","RIAILs",1,"j","carmustine","halfpercDMSO",2,"A","3","QX198",1,"norm.n",-14.4689467042626
"62","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","3","QX311",2,"norm.n",1.65271801533842
"63","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","3","QX358",2,"norm.n",-28.5835638170284
"64","20140624","RIAILs",1,"m","carmustine","halfpercDMSO",2,"A","3","QX486",2,"norm.n",-15.0491192984501
"65","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","5","QX269",2,"median.EXT",-24.4615668148597
"66","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","5","QX174",1,"median.EXT",24.0455307024913
"67","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","5","QX172",1,"median.EXT",107.773837419594
"68","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"A","5","QX314",2,"median.EXT",26.7061181633286
"69","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","5","QX92",1,"median.EXT",-104.980024608087
"70","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","5","QX565",2,"median.EXT",-114.28062417073
"71","20140624","RIAILs",1,"m","carmustine","halfpercDMSO",2,"A","5","QX313",2,"median.EXT",35.0178754315801
"72","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","5","QX269",2,"median.norm.EXT",-0.0302140955891262
"73","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","5","QX174",1,"median.norm.EXT",0.129941989475909
"74","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","5","QX172",1,"median.norm.EXT",0.487427196814397
"75","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"A","5","QX314",2,"median.norm.EXT",0.190785974553923
"76","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","5","QX92",1,"median.norm.EXT",0.184716670125382
"77","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","5","QX565",2,"median.norm.EXT",0.0100341580171752
"78","20140624","RIAILs",1,"m","carmustine","halfpercDMSO",2,"A","5","QX313",2,"median.norm.EXT",0.114483880943031
"79","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","5","QX269",2,"median.TOF",-20.3367024175642
"80","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","5","QX174",1,"median.TOF",2.16719202790385
"81","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","5","QX172",1,"median.TOF",22.7541310496818
"82","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"A","5","QX314",2,"median.TOF",-8.54300260127391
"83","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","5","QX92",1,"median.TOF",4.98543302017604
"84","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","5","QX565",2,"median.TOF",-52.1887989318573
"85","20140624","RIAILs",1,"m","carmustine","halfpercDMSO",2,"A","5","QX313",2,"median.TOF",41.1721393614325
"86","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","5","QX269",2,"norm.n",-1.6994843726366
"87","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","5","QX174",1,"norm.n",-1.57469501552115
"88","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","5","QX172",1,"norm.n",-4.7473667396894
"89","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"A","5","QX314",2,"norm.n",15.9278157246773
"90","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","5","QX92",1,"norm.n",-6.88342498048941
"91","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","5","QX565",2,"norm.n",1.87145531380167
"92","20140624","RIAILs",1,"m","carmustine","halfpercDMSO",2,"A","5","QX313",2,"norm.n",26.9964056858516
"93","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","7","QX290",2,"median.EXT",66.8736881721861
"94","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","7","QX114",1,"median.EXT",-67.6875173092485
"95","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","7","QX76",1,"median.EXT",-173.269784728526
"96","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","7","QX72",NA,"median.EXT",-46.1225383116822
"97","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"A","7","QX304",2,"median.EXT",51.0474686955958
"98","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","7","QX97",1,"median.EXT",-401.9925462826
"99","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","7","QX557",2,"median.EXT",8.52415309022265
"100","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","7","QX290",2,"median.norm.EXT",0.146079177890671
"101","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","7","QX114",1,"median.norm.EXT",-0.005021981833689
"102","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","7","QX76",1,"median.norm.EXT",-0.12129326529843
"103","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","7","QX72",NA,"median.norm.EXT",0.291206066447924
"104","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"A","7","QX304",2,"median.norm.EXT",0.169954389322425
"105","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","7","QX97",1,"median.norm.EXT",-0.393086581885606
"106","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","7","QX557",2,"median.norm.EXT",0.0850013498197108
"107","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","7","QX290",2,"median.TOF",7.57661951046673
"108","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","7","QX114",1,"median.TOF",-10.3522075500397
"109","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","7","QX76",1,"median.TOF",-62.3783352520076
"110","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","7","QX72",NA,"median.TOF",-28.2153128007365
"111","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"A","7","QX304",2,"median.TOF",27.3408840303157
"112","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","7","QX97",1,"median.TOF",-114.4545755338
"113","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","7","QX557",2,"median.TOF",2.57897433132179
"114","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","7","QX290",2,"norm.n",-27.1255660355856
"115","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","7","QX114",1,"norm.n",-24.586966100538
"116","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","7","QX76",1,"norm.n",-14.4240717501434
"117","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","7","QX72",NA,"norm.n",-5.29973450851678
"118","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"A","7","QX304",2,"norm.n",14.9641400922158
"119","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","7","QX97",1,"norm.n",-3.69684009099447
"120","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","7","QX557",2,"norm.n",13.3963365884328
"121","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","9","QX534",2,"median.EXT",-72.4439413473542
"122","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","9","QX401",2,"median.EXT",30.1475723857623
"123","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","9","QX468",2,"median.EXT",141.1139040362
"124","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","9","CB4856",NA,"median.EXT",-23.4642194280241
"125","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"A","9","QX243",2,"median.EXT",-22.6232065705378
"126","20140527","RIAILs",1,"j","carmustine","halfpercDMSO",2,"A","9","QX417",2,"median.EXT",-104.760094740931
"127","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","9","QX2",1,"median.EXT",103.263136032525
"128","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","9","QX503",2,"median.EXT",-73.048993452406
"129","20140624","RIAILs",1,"m","carmustine","halfpercDMSO",2,"A","9","QX451",2,"median.EXT",102.27388833078
"130","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","9","QX534",2,"median.norm.EXT",-0.149364141253072
"131","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","9","QX401",2,"median.norm.EXT",0.0659060991380632
"132","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","9","QX468",2,"median.norm.EXT",0.189305438472273
"133","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","9","CB4856",NA,"median.norm.EXT",-0.0584127653146093
"134","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"A","9","QX243",2,"median.norm.EXT",-0.0267530511919293
"135","20140527","RIAILs",1,"j","carmustine","halfpercDMSO",2,"A","9","QX417",2,"median.norm.EXT",0.0265642687928353
"136","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","9","QX2",1,"median.norm.EXT",0.05225799913054
"137","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","9","QX503",2,"median.norm.EXT",0.178954473422554
"138","20140624","RIAILs",1,"m","carmustine","halfpercDMSO",2,"A","9","QX451",2,"median.norm.EXT",0.285484539674916
"139","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","9","QX534",2,"median.TOF",-11.1322831598281
"140","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","9","QX401",2,"median.TOF",4.0916705275735
"141","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","9","QX468",2,"median.TOF",40.0655428256056
"142","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","9","CB4856",NA,"median.TOF",0.00856099988848574
"143","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"A","9","QX243",2,"median.TOF",-1.03689137135757
"144","20140527","RIAILs",1,"j","carmustine","halfpercDMSO",2,"A","9","QX417",2,"median.TOF",-55.6163545573615
"145","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","9","QX2",1,"median.TOF",21.0931934523906
"146","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","9","QX503",2,"median.TOF",-17.3476909096822
"147","20140624","RIAILs",1,"m","carmustine","halfpercDMSO",2,"A","9","QX451",2,"median.TOF",28.8360217160339
"148","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","9","QX534",2,"norm.n",10.9304951830706
"149","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","9","QX401",2,"norm.n",1.20562392858587
"150","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","9","QX468",2,"norm.n",28.1784213113673
"151","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","9","CB4856",NA,"norm.n",23.0170113083958
"152","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"A","9","QX243",2,"norm.n",-4.43409233311582
"153","20140527","RIAILs",1,"j","carmustine","halfpercDMSO",2,"A","9","QX417",2,"norm.n",-8.74549333209746
"154","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","9","QX2",1,"norm.n",-3.75362679649294
"155","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","9","QX503",2,"norm.n",-5.33135434869282
"156","20140624","RIAILs",1,"m","carmustine","halfpercDMSO",2,"A","9","QX451",2,"norm.n",6.83803277739531
"157","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","11","QX307",2,"median.EXT",121.483077402054
"158","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","11","QX453",2,"median.EXT",12.2329100188291
"159","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","11","QX416",2,"median.EXT",51.0346619483519
"160","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","11","QX561",2,"median.EXT",0.828366742490635
"161","20140527","RIAILs",1,"j","carmustine","halfpercDMSO",2,"A","11","QX475",2,"median.EXT",-124.308528518609
"162","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","11","QX77",1,"median.EXT",69.6542426787691
"163","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","11","QX437",2,"median.EXT",-30.3537707133589
"164","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","11","QX307",2,"median.norm.EXT",0.108087468043459
"165","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","11","QX453",2,"median.norm.EXT",0.378146351482857
"166","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","11","QX416",2,"median.norm.EXT",0.248463173935925
"167","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","11","QX561",2,"median.norm.EXT",0.123129954973935
"168","20140527","RIAILs",1,"j","carmustine","halfpercDMSO",2,"A","11","QX475",2,"median.norm.EXT",0.155197792957747
"169","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","11","QX77",1,"median.norm.EXT",-0.269733606960545
"170","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","11","QX437",2,"median.norm.EXT",0.25145613584281
"171","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","11","QX307",2,"median.TOF",38.7527243249008
"172","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","11","QX453",2,"median.TOF",7.07944806774083
"173","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","11","QX416",2,"median.TOF",1.07165405552196
"174","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","11","QX561",2,"median.TOF",9.02078345972116
"175","20140527","RIAILs",1,"j","carmustine","halfpercDMSO",2,"A","11","QX475",2,"median.TOF",-69.066343864891
"176","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","11","QX77",1,"median.TOF",43.3632084218493
"177","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","11","QX437",2,"median.TOF",-18.2743561506861
"178","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","11","QX307",2,"norm.n",14.4465385843596
"179","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","11","QX453",2,"norm.n",-17.0864219854062
"180","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","11","QX416",2,"norm.n",-10.6222811042563
"181","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","11","QX561",2,"norm.n",9.74857706706072
"182","20140527","RIAILs",1,"j","carmustine","halfpercDMSO",2,"A","11","QX475",2,"norm.n",-28.9320782215924
"183","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","11","QX77",1,"norm.n",-10.6961146041521
"184","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","11","QX437",2,"norm.n",7.91661755468223
"185","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"B","1","QX482",2,"median.EXT",158.525911510624
"186","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"B","1","QX352",2,"median.EXT",-63.5960841309627
"187","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"B","1","QX108",1,"median.EXT",82.7053372144855
"188","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"B","1","QX132",1,"median.EXT",-12.3604298672628
"189","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"B","1","QX51",1,"median.EXT",-39.0439644826901
"190","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"B","1","QX418",2,"median.EXT",115.642051588331
"191","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"B","1","QX426",2,"median.EXT",6.00586645456548
"192","20140624","RIAILs",1,"m","carmustine","halfpercDMSO",2,"B","1","QX278",2,"median.EXT",92.4201814160378
"193","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"B","1","QX482",2,"median.norm.EXT",0.0982020063493476
"194","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"B","1","QX352",2,"median.norm.EXT",0.092758032887368
"195","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"B","1","QX108",1,"median.norm.EXT",0.0664252386677352
"196","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"B","1","QX132",1,"median.norm.EXT",-0.0825168358298243
"197","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"B","1","QX51",1,"median.norm.EXT",-0.166501232740271
"198","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"B","1","QX418",2,"median.norm.EXT",0.140560026789277
"199","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"B","1","QX426",2,"median.norm.EXT",0.0783313768864387
"200","20140624","RIAILs",1,"m","carmustine","halfpercDMSO",2,"B","1","QX278",2,"median.norm.EXT",0.187826231248037
"201","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"B","1","QX482",2,"median.TOF",33.3688376933116
"202","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"B","1","QX352",2,"median.TOF",-21.358318779956
"203","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"B","1","QX108",1,"median.TOF",14.5472091358566
"204","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"B","1","QX132",1,"median.TOF",3.47301447353022
"205","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"B","1","QX51",1,"median.TOF",15.5964348336621
"206","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"B","1","QX418",2,"median.TOF",9.72876136368981
"207","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"B","1","QX426",2,"median.TOF",-16.4454705883436
"208","20140624","RIAILs",1,"m","carmustine","halfpercDMSO",2,"B","1","QX278",2,"median.TOF",49.7260195775398
"209","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"B","1","QX482",2,"norm.n",5.27654121128527
"210","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"B","1","QX352",2,"norm.n",-22.5545165545389
"211","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"B","1","QX108",1,"norm.n",10.5484417556603
"212","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"B","1","QX132",1,"norm.n",24.1884596551547
"213","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"B","1","QX51",1,"norm.n",10.8378539863374
"214","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"B","1","QX418",2,"norm.n",-13.5088042278148
"215","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"B","1","QX426",2,"norm.n",-19.620250927988
"216","20140624","RIAILs",1,"m","carmustine","halfpercDMSO",2,"B","1","QX278",2,"norm.n",-4.86108343527048
"217","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"B","3","QX158",1,"median.EXT",-125.857942546139
"218","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"B","3","QX506",2,"median.EXT",133.635050711249
"219","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"B","3","QX37",1,"median.EXT",74.2534404080886
"220","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"B","3","QX529",2,"median.EXT",-11.0189140429583
"221","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"B","3","CB4856",NA,"median.EXT",54.8771240135369
"222","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"B","3","QX553",2,"median.EXT",-49.4679988096867
"223","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"B","3","QX245",2,"median.EXT",172.97538872847
"224","20140624","RIAILs",1,"m","carmustine","halfpercDMSO",2,"B","3","QX487",2,"median.EXT",55.8042007648384
"225","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"B","3","QX158",1,"median.norm.EXT",-0.13293848756199
"226","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"B","3","QX506",2,"median.norm.EXT",0.374546015157728
"227","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"B","3","QX37",1,"median.norm.EXT",0.0602458254194266
"228","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"B","3","QX529",2,"median.norm.EXT",0.0411283382182582
