"","date","experiment","round","assay","condition","control","plate","row","col","strain","set","trait","phenotype"
"1","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","1","QX318",2,"median.EXT",-101.662719807091
"2","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","1","QX89",1,"median.EXT",66.7938654710196
"3","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","1","QX184",1,"median.EXT",-127.453477545285
"4","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","1","QX297",2,"median.EXT",37.4626340293472
"5","20140527","RIAILs",1,"j","carmustine","halfpercDMSO",2,"A","1","QX218",1,"median.EXT",5.74666197243734
"6","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","1","QX137",1,"median.EXT",-6.77244548656485
"7","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","1","QX364",2,"median.EXT",41.207350030869
"8","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","1","QX318",2,"median.norm.EXT",-0.0119312494762747
"9","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","1","QX89",1,"median.norm.EXT",0.25509622194352
"10","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","1","QX184",1,"median.norm.EXT",-0.0156358028117481
"11","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","1","QX297",2,"median.norm.EXT",0.292873330725451
"12","20140527","RIAILs",1,"j","carmustine","halfpercDMSO",2,"A","1","QX218",1,"median.norm.EXT",-0.0470622181082345
"13","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","1","QX137",1,"median.norm.EXT",0.339152380447836
"14","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","1","QX364",2,"median.norm.EXT",0.183395445651575
"15","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","1","QX318",2,"median.TOF",-44.7878125782338
"16","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","1","QX89",1,"median.TOF",23.9461218627211
"17","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","1","QX184",1,"median.TOF",-63.7755651965696
"18","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","1","QX297",2,"median.TOF",18.558571692359
"19","20140527","RIAILs",1,"j","carmustine","halfpercDMSO",2,"A","1","QX218",1,"median.TOF",-4.20466044668724
"20","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","1","QX137",1,"median.TOF",20.5904447818936
"21","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","1","QX364",2,"median.TOF",-3.16323315905223
"22","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","1","QX318",2,"norm.n",25.5411006310812
"23","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","1","QX89",1,"norm.n",0.730505203216983
"24","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","1","QX184",1,"norm.n",-1.10660044638849
"25","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","1","QX297",2,"norm.n",18.4924927771859
"26","20140527","RIAILs",1,"j","carmustine","halfpercDMSO",2,"A","1","QX218",1,"norm.n",-31.1105507245875
"27","20140603","RIAILs",1,"k","carmustine","halfpercDMSO",2,"A","1","QX137",1,"norm.n",-2.05802266194526
"28","20140623","RIAILs",1,"l","carmustine","halfpercDMSO",2,"A","1","QX364",2,"norm.n",-4.99802101535949
"29","20140429","RIAILs",1,"b","carmustine","halfpercDMSO",2,"A","3","QX171",1,"median.EXT",-37.345586163663
"30","20140512","RIAILs",1,"e","carmustine","halfpercDMSO",2,"A","3","QX112",1,"median.EXT",48.8544903391355
"31","20140513","RIAILs",1,"f","carmustine","halfpercDMSO",2,"A","3","QX250",2,"median.EXT",-9.91047814467661
"32","20140520","RIAILs",1,"h","carmustine","halfpercDMSO",2,"A","3","N2",NA,"median.EXT",-11.1895893090919
"33","20140526","RIAILs",1,"i","carmustine","halfpercDMSO",2,"A","3","QX299",2,"median.EXT",-10.5498947358718
"34","20140527","RIAILs",1,"j","carmustine","halfpercDMSO",2,"A","3","QX198",1,"median.EXT",29.5512739413528
