"","date","experiment","round","assay","plate","condition","control","strain","row","col","trait","phenotype"
"1","20191031","scbHTA",1,"a",1,"DMSO","None","N2","A","1","median.TOF",-12.2102272727282
"2","20191031","scbHTA",1,"a",1,"DMSO","None","N2","A","10","median.TOF",19.7897727272734
"3","20191031","scbHTA",1,"a",1,"DMSO","None","N2","A","11","median.TOF",3.28977272727273
"4","20191031","scbHTA",1,"a",1,"DMSO","None","N2","A","2","median.TOF",14.7897727272727
"5","20191031","scbHTA",1,"a",1,"DMSO","None","N2","A","3","median.TOF",-2.21022727272727
"6","20191031","scbHTA",1,"a",1,"DMSO","None","N2","A","4","median.TOF",8.78977272727273
"7","20191031","scbHTA",1,"a",1,"DMSO","None","N2","A","5","median.TOF",-1.21022727272727
"8","20191031","scbHTA",1,"a",1,"DMSO","None","N2","A","8","median.TOF",35.7897727272727
"9","20191031","scbHTA",1,"a",1,"DMSO","None","N2","A","9","median.TOF",22.7897727272727
"10","20191031","scbHTA",1,"a",1,"DMSO","None","CB4856","B","1","median.TOF",-12.2102272727282
"11","20191031","scbHTA",1,"a",1,"DMSO","None","CB4856","B","10","median.TOF",-22.7102272727273
"12","20191031","scbHTA",1,"a",1,"DMSO","None","CB4856","B","11","median.TOF",-13.2102272727273
"13","20191031","scbHTA",1,"a",1,"DMSO","None","CB4856","B","2","median.TOF",23.2897727272727
"14","20191031","scbHTA",1,"a",1,"DMSO","None","CB4856","B","3","median.TOF",-64.2102272727273
"15","20191031","scbHTA",1,"a",1,"DMSO","None","CB4856","B","4","median.TOF",34.7897727272727
"16","20191031","scbHTA",1,"a",1,"DMSO","None","CB4856","B","5","median.TOF",24.7897727272727
"17","20191031","scbHTA",1,"a",1,"DMSO","None","CB4856","B","6","median.TOF",25.2897727272727
"18","20191031","scbHTA",1,"a",1,"DMSO","None","CB4856","B","7","median.TOF",-47.2102272727273
"19","20191031","scbHTA",1,"a",1,"DMSO","None","CB4856","B","8","median.TOF",24.7897727272727
"20","20191031","scbHTA",1,"a",1,"DMSO","None","CB4856","B","9","median.TOF",14.2897727272727
"21","20191031","scbHTA",1,"a",1,"DMSO","None","ECA232","C","1","median.TOF",3.28977272727273
"22","20191031","scbHTA",1,"a",1,"DMSO","None","ECA232","C","10","median.TOF",-5.21022727272727
"23","20191031","scbHTA",1,"a",1,"DMSO","None","ECA232","C","11","median.TOF",6.78977272727273
"24","20191031","scbHTA",1,"a",1,"DMSO","None","ECA232","C","2","median.TOF",-20.2102272727273
"25","20191031","scbHTA",1,"a",1,"DMSO","None","ECA232","C","3","median.TOF",-4.21022727272727
"26","20191031","scbHTA",1,"a",1,"DMSO","None","ECA232","C","4","median.TOF",-17.2102272727273
"27","20191031","scbHTA",1,"a",1,"DMSO","None","ECA232","C","5","median.TOF",-18.2102272727273
"28","20191031","scbHTA",1,"a",1,"DMSO","None","ECA232","C","6","median.TOF",-1.21022727272727
"29","20191031","scbHTA",1,"a",1,"DMSO","None","ECA232","C","7","median.TOF",-20.2102272727273
"30","20191031","scbHTA",1,"a",1,"DMSO","None","ECA232","C","8","median.TOF",-7.21022727272727
"31","20191031","scbHTA",1,"a",1,"DMSO","None","ECA232","C","9","median.TOF",-1.71022727272727
"32","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1114","D","1","median.TOF",-23.2102272727273
"33","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1114","D","10","median.TOF",-19.7102272727273
"34","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1114","D","11","median.TOF",-26.2102272727273
"35","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1114","D","2","median.TOF",-34.2102272727273
"36","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1114","D","3","median.TOF",-24.2102272727273
"37","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1114","D","4","median.TOF",-17.2102272727273
"38","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1114","D","5","median.TOF",12.7897727272727
"39","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1114","D","6","median.TOF",-34.2102272727273
"40","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1114","D","7","median.TOF",-17.2102272727273
"41","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1114","D","8","median.TOF",-53.2102272727273
"42","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1114","D","9","median.TOF",-5.71022727272727
"43","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1132","E","1","median.TOF",10.2897727272727
"44","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1132","E","10","median.TOF",10.7897727272727
"45","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1132","E","11","median.TOF",3.28977272727273
"46","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1132","E","2","median.TOF",3.28977272727273
"47","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1132","E","3","median.TOF",-15.2102272727273
"48","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1132","E","4","median.TOF",-6.21022727272727
"49","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1132","E","5","median.TOF",9.28977272727273
"50","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1132","E","6","median.TOF",2.78977272727273
"51","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1132","E","7","median.TOF",-2.71022727272727
"52","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1132","E","8","median.TOF",9.78977272727273
"53","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1132","E","9","median.TOF",5.28977272727273
"54","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1133","F","10","median.TOF",-22.2102272727273
"55","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1133","F","11","median.TOF",8.78977272727273
"56","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1133","F","2","median.TOF",12.2897727272727
"57","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1133","F","3","median.TOF",-4.21022727272727
"58","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1133","F","4","median.TOF",6.78977272727273
"59","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1133","F","5","median.TOF",16.7897727272727
"60","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1133","F","6","median.TOF",38.2897727272727
"61","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1133","F","7","median.TOF",45.7897727272727
"62","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1133","F","8","median.TOF",10.7897727272727
"63","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1133","F","9","median.TOF",9.28977272727273
"64","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1134","G","1","median.TOF",-16.2102272727273
"65","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1134","G","10","median.TOF",-18.7102272727273
"66","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1134","G","11","median.TOF",32.7897727272727
"67","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1134","G","2","median.TOF",-20.7102272727273
"68","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1134","G","3","median.TOF",34.2897727272727
"69","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1134","G","4","median.TOF",34.7897727272727
"70","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1134","G","5","median.TOF",-17.2102272727273
"71","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1134","G","6","median.TOF",8.78977272727273
"72","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1134","G","7","median.TOF",-20.7102272727273
"73","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1134","G","8","median.TOF",-4.21022727272727
"74","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1134","G","9","median.TOF",28.7897727272727
"75","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1135","H","1","median.TOF",-13.2102272727273
"76","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1135","H","10","median.TOF",17.2897727272727
"77","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1135","H","11","median.TOF",15.7897727272727
"78","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1135","H","2","median.TOF",10.7897727272727
"79","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1135","H","3","median.TOF",10.7897727272727
"80","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1135","H","4","median.TOF",-13.2102272727273
"81","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1135","H","5","median.TOF",3.78977272727273
"82","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1135","H","6","median.TOF",-4.21022727272727
"83","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1135","H","7","median.TOF",23.7897727272727
"84","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1135","H","8","median.TOF",-9.21022727272727
"85","20191031","scbHTA",1,"a",1,"DMSO","None","ECA1135","H","9","median.TOF",2.28977272727273
"86","20191031","scbHTA",1,"a",4,"bortezomib","DMSO","N2","A","1","median.TOF",3.73863636363583
"87","20191031","scbHTA",1,"a",4,"bortezomib","DMSO","N2","A","10","median.TOF",17.2386363636345
"88","20191031","scbHTA",1,"a",4,"bortezomib","DMSO","N2","A","11","median.TOF",7.23863636363639
"89","20191031","scbHTA",1,"a",4,"bortezomib","DMSO","N2","A","2","median.TOF",0.238636363636392
"90","20191031","scbHTA",1,"a",4,"bortezomib","DMSO","N2","A","3","median.TOF",-16.2613636363636
"91","20191031","scbHTA",1,"a",4,"bortezomib","DMSO","N2","A","4","median.TOF",13.2386363636364
"92","20191031","scbHTA",1,"a",4,"bortezomib","DMSO","N2","A","5","median.TOF",-0.761363636363608
"93","20191031","scbHTA",1,"a",4,"bortezomib","DMSO","N2","A","6","median.TOF",-12.7613636363636
"94","20191031","scbHTA",1,"a",4,"bortezomib","DMSO","N2","A","7","median.TOF",13.2386363636364
"95","20191031","scbHTA",1,"a",4,"bortezomib","DMSO","N2","A","8","median.TOF",15.2386363636364
"96","20191031","scbHTA",1,"a",4,"bortezomib","DMSO","N2","A","9","median.TOF",-8.26136363636361
"97","20191031","scbHTA",1,"a",4,"bortezomib","DMSO","CB4856","B","1","median.TOF",-22.7613636363636
"98","20191031","scbHTA",1,"a",4,"bortezomib","DMSO","CB4856","B","10","median.TOF",-8.76136363636361
"99","20191031","scbHTA",1,"a",4,"bortezomib","DMSO","CB4856","B","11","median.TOF",6.23863636363639
"100","20191031","scbHTA",1,"a",4,"bortezomib","DMSO","CB4856","B","2","median.TOF",-4.76136363636361
"101","20191031","scbHTA",1,"a",4,"bortezomib","DMSO","CB4856","B","3","median.TOF",-17.7613636363636
"102","20191031","scbHTA",1,"a",4,"bortezomib","DMSO","CB4856","B","4","median.TOF",12.2386363636364
