"","experiment","condition","trait","comparison","adj.p.value"
"186","CRISPR","carmustine","median.TOF","ECA1133-ECA1132",0.457451906690813
"187","CRISPR","carmustine","median.TOF","ECA1134-ECA1132",0.00369517959026389
"188","CRISPR","carmustine","median.TOF","ECA1135-ECA1132",0.878342935416922
"189","CRISPR","carmustine","median.TOF","ECA232-ECA1132",0.0120943183297636
"190","CRISPR","carmustine","median.TOF","N2-ECA1132",0.519064010436355
"191","CRISPR","carmustine","median.TOF","ECA1134-ECA1133",0.562456978480614
"192","CRISPR","carmustine","median.TOF","ECA1135-ECA1133",0.997485524212379
"193","CRISPR","carmustine","median.TOF","ECA232-ECA1133",0.771942265495884
"194","CRISPR","carmustine","median.TOF","N2-ECA1133",0.999999999583781
"195","CRISPR","carmustine","median.TOF","ECA1135-ECA1134",0.189076900802984
"196","CRISPR","carmustine","median.TOF","ECA232-ECA1134",0.999989650215934
"197","CRISPR","carmustine","median.TOF","N2-ECA1134",0.530426863867959
"198","CRISPR","carmustine","median.TOF","ECA232-ECA1135",0.353953555561207
"199","CRISPR","carmustine","median.TOF","N2-ECA1135",0.998829633531899
"200","CRISPR","carmustine","median.TOF","N2-ECA232",0.74222066623913
"201","CRISPR","etoposide","median.TOF","ECA1114-CB4856",0.893998241806233
"202","CRISPR","etoposide","median.TOF","ECA1132-CB4856",6.84776884843918e-05
"203","CRISPR","etoposide","median.TOF","ECA1133-CB4856",0.986534297884164
"204","CRISPR","etoposide","median.TOF","ECA1134-CB4856",0.99986295586149
"205","CRISPR","etoposide","median.TOF","ECA1135-CB4856",2.84700962360773e-06
"206","CRISPR","etoposide","median.TOF","ECA232-CB4856",0.000843544954445385
"207","CRISPR","etoposide","median.TOF","N2-CB4856",0.00687984749437653
"208","CRISPR","etoposide","median.TOF","ECA1132-ECA1114",0.0131358538757218
"209","CRISPR","etoposide","median.TOF","ECA1133-ECA1114",0.999900411047963
"210","CRISPR","etoposide","median.TOF","ECA1134-ECA1114",0.987379216456645
"211","CRISPR","etoposide","median.TOF","ECA1135-ECA1114",0.00113291460214338
"212","CRISPR","etoposide","median.TOF","ECA232-ECA1114",0.0764911339280926
"213","CRISPR","etoposide","median.TOF","N2-ECA1114",0.264182008037163
"214","CRISPR","etoposide","median.TOF","ECA1133-ECA1132",0.00309728024187705
"215","CRISPR","etoposide","median.TOF","ECA1134-ECA1132",0.000424665412326553
"216","CRISPR","etoposide","median.TOF","ECA1135-ECA1132",0.997006820829996
"217","CRISPR","etoposide","median.TOF","ECA232-ECA1132",0.998755543363545
"218","CRISPR","etoposide","median.TOF","N2-ECA1132",0.952403275210824
"219","CRISPR","etoposide","median.TOF","ECA1134-ECA1133",0.999792331485081
"220","CRISPR","etoposide","median.TOF","ECA1135-ECA1133",0.000210384576025957
"221","CRISPR","etoposide","median.TOF","ECA232-ECA1133",0.0232089633297523
"222","CRISPR","etoposide","median.TOF","N2-ECA1133",0.106860648433082
"223","CRISPR","etoposide","median.TOF","ECA1135-ECA1134",2.14315699791356e-05
"224","CRISPR","etoposide","median.TOF","ECA232-ECA1134",0.00427989495747805
"225","CRISPR","etoposide","median.TOF","N2-ECA1134",0.0274775601615852
"226","CRISPR","etoposide","median.TOF","ECA232-ECA1135",0.896805869982372
"227","CRISPR","etoposide","median.TOF","N2-ECA1135",0.618500509807115
"228","CRISPR","etoposide","median.TOF","N2-ECA232",0.999558892464998
"229","CRISPR","amsacrine","median.TOF","ECA1114-CB4856",0.999966388196449
"230","CRISPR","amsacrine","median.TOF","ECA1132-CB4856",0.999885549345072
"231","CRISPR","amsacrine","median.TOF","ECA1133-CB4856",0.821699984422655
"232","CRISPR","amsacrine","median.TOF","ECA1134-CB4856",0.999814076952639
"233","CRISPR","amsacrine","median.TOF","ECA1135-CB4856",0.12739662322511
"234","CRISPR","amsacrine","median.TOF","ECA232-CB4856",0.0432269561187285
"235","CRISPR","amsacrine","median.TOF","N2-CB4856",0.994339316614521
"236","CRISPR","amsacrine","median.TOF","ECA1132-ECA1114",0.999999999232709
"237","CRISPR","amsacrine","median.TOF","ECA1133-ECA1114",0.577905117151499
"238","CRISPR","amsacrine","median.TOF","ECA1134-ECA1114",0.991903719121308
"239","CRISPR","amsacrine","median.TOF","ECA1135-ECA1114",0.0437545141597883
"240","CRISPR","amsacrine","median.TOF","ECA232-ECA1114",0.0114323590484343
"241","CRISPR","amsacrine","median.TOF","N2-ECA1114",0.946414113531292
"242","CRISPR","amsacrine","median.TOF","ECA1133-ECA1132",0.541424839152365
"243","CRISPR","amsacrine","median.TOF","ECA1134-ECA1132",0.987249087314718
"244","CRISPR","amsacrine","median.TOF","ECA1135-ECA1132",0.0391283247327866
"245","CRISPR","amsacrine","median.TOF","ECA232-ECA1132",0.010211804220202
"246","CRISPR","amsacrine","median.TOF","N2-ECA1132",0.930000733608709
"247","CRISPR","amsacrine","median.TOF","ECA1134-ECA1133",0.972198274566343
"248","CRISPR","amsacrine","median.TOF","ECA1135-ECA1133",0.90121130636688
"249","CRISPR","amsacrine","median.TOF","ECA232-ECA1133",0.7040463453511
"250","CRISPR","amsacrine","median.TOF","N2-ECA1133",0.997149668410352
"251","CRISPR","amsacrine","median.TOF","ECA1135-ECA1134",0.321752155531245
"252","CRISPR","amsacrine","median.TOF","ECA232-ECA1134",0.141665144625505
"253","CRISPR","amsacrine","median.TOF","N2-ECA1134",0.99998389209932
"254","CRISPR","amsacrine","median.TOF","ECA232-ECA1135",0.999973288993731
"255","CRISPR","amsacrine","median.TOF","N2-ECA1135",0.519795744064333
"256","CRISPR","amsacrine","median.TOF","N2-ECA232",0.27700657135822
"257","CRISPR","bleomycin","median.TOF","ECA1114-CB4856",0
"258","CRISPR","bleomycin","median.TOF","ECA1132-CB4856",0
"259","CRISPR","bleomycin","median.TOF","ECA1133-CB4856",0
"260","CRISPR","bleomycin","median.TOF","ECA1134-CB4856",0
"261","CRISPR","bleomycin","median.TOF","ECA1135-CB4856",0
"262","CRISPR","bleomycin","median.TOF","ECA232-CB4856",0.151391801550865
"263","CRISPR","bleomycin","median.TOF","N2-CB4856",1.3701866942939e-05
"264","CRISPR","bleomycin","median.TOF","ECA1132-ECA1114",0.692846986771588
"265","CRISPR","bleomycin","median.TOF","ECA1133-ECA1114",1
"266","CRISPR","bleomycin","median.TOF","ECA1134-ECA1114",0.68424000567685
"267","CRISPR","bleomycin","median.TOF","ECA1135-ECA1114",0.918279969228579
"268","CRISPR","bleomycin","median.TOF","ECA232-ECA1114",0
"269","CRISPR","bleomycin","median.TOF","N2-ECA1114",0
"270","CRISPR","bleomycin","median.TOF","ECA1133-ECA1132",0.71236266951226
"271","CRISPR","bleomycin","median.TOF","ECA1134-ECA1132",0.017177854831731
"272","CRISPR","bleomycin","median.TOF","ECA1135-ECA1132",0.99976174898748
"273","CRISPR","bleomycin","median.TOF","ECA232-ECA1132",0
"274","CRISPR","bleomycin","median.TOF","N2-ECA1132",0
"275","CRISPR","bleomycin","median.TOF","ECA1134-ECA1133",0.723771102332846
"276","CRISPR","bleomycin","median.TOF","ECA1135-ECA1133",0.924374687991946
"277","CRISPR","bleomycin","median.TOF","ECA232-ECA1133",0
"278","CRISPR","bleomycin","median.TOF","N2-ECA1133",0
"279","CRISPR","bleomycin","median.TOF","ECA1135-ECA1134",0.0620793675255018
"280","CRISPR","bleomycin","median.TOF","ECA232-ECA1134",0
"281","CRISPR","bleomycin","median.TOF","N2-ECA1134",0
"282","CRISPR","bleomycin","median.TOF","ECA232-ECA1135",0
"283","CRISPR","bleomycin","median.TOF","N2-ECA1135",0
"284","CRISPR","bleomycin","median.TOF","N2-ECA232",0.0275676784334803
"285","CRISPR","silver","median.TOF","ECA1114-CB4856",1.27646887948529e-07
"286","CRISPR","silver","median.TOF","ECA1132-CB4856",0.174217144441851
"287","CRISPR","silver","median.TOF","ECA1133-CB4856",0.919135486894718
"288","CRISPR","silver","median.TOF","ECA1134-CB4856",0.312277628100826
"289","CRISPR","silver","median.TOF","ECA1135-CB4856",0.85224297547082
"290","CRISPR","silver","median.TOF","ECA232-CB4856",0.999053180542034
"291","CRISPR","silver","median.TOF","N2-CB4856",0.999999519772234
"292","CRISPR","silver","median.TOF","ECA1132-ECA1114",0.000237346642935732
"293","CRISPR","silver","median.TOF","ECA1133-ECA1114",6.36456364833116e-07
"294","CRISPR","silver","median.TOF","ECA1134-ECA1114",7.61706267212725e-05
"295","CRISPR","silver","median.TOF","ECA1135-ECA1114",1.64684494219358e-06
"296","CRISPR","silver","median.TOF","ECA232-ECA1114",3.50213213984318e-09
"297","CRISPR","silver","median.TOF","N2-ECA1114",2.63600252736751e-11
"298","CRISPR","silver","median.TOF","ECA1133-ECA1132",0.772960881059137
"299","CRISPR","silver","median.TOF","ECA1134-ECA1132",0.99997349746156
"300","CRISPR","silver","median.TOF","ECA1135-ECA1132",0.877241248003391
"301","CRISPR","silver","median.TOF","ECA232-ECA1132",0.211749007982902
"302","CRISPR","silver","median.TOF","N2-ECA1132",0.0169731371190864
"303","CRISPR","silver","median.TOF","ECA1134-ECA1133",0.9262003612983
"304","CRISPR","silver","median.TOF","ECA1135-ECA1133",0.999999287547334
"305","CRISPR","silver","median.TOF","ECA232-ECA1133",0.991415970824483
"306","CRISPR","silver","median.TOF","N2-ECA1133",0.656310943448677
"307","CRISPR","silver","median.TOF","ECA1135-ECA1134",0.972474329899339
"308","CRISPR","silver","median.TOF","ECA232-ECA1134",0.412645471593016
"309","CRISPR","silver","median.TOF","N2-ECA1134",0.0525513847380782
"310","CRISPR","silver","median.TOF","ECA232-ECA1135",0.968410529615373
"311","CRISPR","silver","median.TOF","N2-ECA1135",0.515087633227456
"312","CRISPR","silver","median.TOF","N2-ECA232",0.979157857862789
"313","CRISPR","puromycin","median.TOF","ECA1114-CB4856",0.00233871935757435
"314","CRISPR","puromycin","median.TOF","ECA1132-CB4856",0.182011280316446
"315","CRISPR","puromycin","median.TOF","ECA1133-CB4856",0.994289559021004
"316","CRISPR","puromycin","median.TOF","ECA1134-CB4856",0.980755307902963
"317","CRISPR","puromycin","median.TOF","ECA1135-CB4856",0.382164399876995
"318","CRISPR","puromycin","median.TOF","ECA232-CB4856",0.999988988346635
"319","CRISPR","puromycin","median.TOF","N2-CB4856",0.863562149954366
"320","CRISPR","puromycin","median.TOF","ECA1132-ECA1114",0.614089227635295
"321","CRISPR","puromycin","median.TOF","ECA1133-ECA1114",0.0168554890445021
"322","CRISPR","puromycin","median.TOF","ECA1134-ECA1114",0.0086991558011712
"323","CRISPR","puromycin","median.TOF","ECA1135-ECA1114",0.31570607676738
"324","CRISPR","puromycin","median.TOF","ECA232-ECA1114",0.000434825412570672
"325","CRISPR","puromycin","median.TOF","N2-ECA1114",0.0423783065040891
"326","CRISPR","puromycin","median.TOF","ECA1133-ECA1132",0.5842121841803
"327","CRISPR","puromycin","median.TOF","ECA1134-ECA1132",0.54947003436324
"328","CRISPR","puromycin","median.TOF","ECA1135-ECA1132",0.999747814149391
"329","CRISPR","puromycin","median.TOF","ECA232-ECA1132",0.12540257815859
"330","CRISPR","puromycin","median.TOF","N2-ECA1132",0.864265951191414
"331","CRISPR","puromycin","median.TOF","ECA1134-ECA1133",0.999999970064344
"332","CRISPR","puromycin","median.TOF","ECA1135-ECA1133",0.842021683869784
"333","CRISPR","puromycin","median.TOF","ECA232-ECA1133",0.999082358019821
"334","CRISPR","puromycin","median.TOF","N2-ECA1133",0.9988603779622
"335","CRISPR","puromycin","median.TOF","ECA1135-ECA1134",0.838776374634251
"336","CRISPR","puromycin","median.TOF","ECA232-ECA1134",0.993857625630297
"337","CRISPR","puromycin","median.TOF","N2-ECA1134",0.999553196351996
"338","CRISPR","puromycin","median.TOF","ECA232-ECA1135",0.332091291509672
"339","CRISPR","puromycin","median.TOF","N2-ECA1135",0.984470535590626
"340","CRISPR","puromycin","median.TOF","N2-ECA232",0.895610293874212
"341","CRISPR","cisplatin","median.TOF","ECA1114-CB4856",3.01980662698043e-13
"342","CRISPR","cisplatin","median.TOF","ECA1132-CB4856",3.03341796126233e-10
"343","CRISPR","cisplatin","median.TOF","ECA1133-CB4856",0.0571087514008443
"344","CRISPR","cisplatin","median.TOF","ECA1134-CB4856",0.33920251335759
"345","CRISPR","cisplatin","median.TOF","ECA1135-CB4856",1.21261179808485e-06
"346","CRISPR","cisplatin","median.TOF","ECA232-CB4856",0.0010106840016072
"347","CRISPR","cisplatin","median.TOF","N2-CB4856",9.85049819490769e-11
"348","CRISPR","cisplatin","median.TOF","ECA1132-ECA1114",0.534894633774331
"349","CRISPR","cisplatin","median.TOF","ECA1133-ECA1114",4.03832606243881e-08
"350","CRISPR","cisplatin","median.TOF","ECA1134-ECA1114",1.91491267287347e-11
"351","CRISPR","cisplatin","median.TOF","ECA1135-ECA1114",0.00624145663495801
"352","CRISPR","cisplatin","median.TOF","ECA232-ECA1114",2.23010749955677e-06
"353","CRISPR","cisplatin","median.TOF","N2-ECA1114",0.808596093466266
"354","CRISPR","cisplatin","median.TOF","ECA1133-ECA1132",6.56684462059243e-05
"355","CRISPR","cisplatin","median.TOF","ECA1134-ECA1132",7.56259929124425e-08
"356","CRISPR","cisplatin","median.TOF","ECA1135-ECA1132",0.522918171692189
"357","CRISPR","cisplatin","median.TOF","ECA232-ECA1132",0.0029591473752596
"358","CRISPR","cisplatin","median.TOF","N2-ECA1132",0.999907880697384
"359","CRISPR","cisplatin","median.TOF","ECA1134-ECA1133",0.963074361396252
"360","CRISPR","cisplatin","median.TOF","ECA1135-ECA1133",0.0530055423343395
"361","CRISPR","cisplatin","median.TOF","ECA232-ECA1133",0.918843700893199
