"","experiment","condition","trait","comparison","adj.p.value"
"1","NIL","cisplatin","median.TOF","ECA1114-CB4856",0.00746753003547962
"2","NIL","cisplatin","median.TOF","ECA232-CB4856",0.00241153829383622
"3","NIL","cisplatin","median.TOF","N2-CB4856",4.71631763365732e-06
"4","NIL","cisplatin","median.TOF","ECA232-ECA1114",0.979127746503148
"5","NIL","cisplatin","median.TOF","N2-ECA1114",0.105258007257329
"6","NIL","cisplatin","median.TOF","N2-ECA232",0.225276240581544
"7","NIL","etoposide","median.TOF","ECA1114-CB4856",0.878854929364108
"8","NIL","etoposide","median.TOF","ECA232-CB4856",0.450883197470823
"9","NIL","etoposide","median.TOF","N2-CB4856",0.944009359008911
"10","NIL","etoposide","median.TOF","ECA232-ECA1114",0.890252180021845
"11","NIL","etoposide","median.TOF","N2-ECA1114",0.997189212209822
"12","NIL","etoposide","median.TOF","N2-ECA232",0.786353505386455
"13","NIL","silver","median.TOF","ECA1114-CB4856",0.620212647552108
"14","NIL","silver","median.TOF","ECA232-CB4856",0.0731381957889372
"15","NIL","silver","median.TOF","N2-CB4856",0.0163542958322187
"16","NIL","silver","median.TOF","ECA232-ECA1114",0.00304315880357187
"17","NIL","silver","median.TOF","N2-ECA1114",0.000473354132495274
"18","NIL","silver","median.TOF","N2-ECA232",0.927441559647137
"19","NIL","bortezomib","median.TOF","ECA1114-CB4856",0.995200397341951
"20","NIL","bortezomib","median.TOF","ECA232-CB4856",0.100904373940448
"21","NIL","bortezomib","median.TOF","N2-CB4856",0.465039412013431
"22","NIL","bortezomib","median.TOF","ECA232-ECA1114",0.163131975360914
"23","NIL","bortezomib","median.TOF","N2-ECA1114",0.611273973981974
"24","NIL","bortezomib","median.TOF","N2-ECA232",0.810902137069321
"25","NIL","carmustine","median.TOF","ECA1114-CB4856",0.672233285027231
"26","NIL","carmustine","median.TOF","ECA232-CB4856",0.708763404077265
"27","NIL","carmustine","median.TOF","N2-CB4856",0.264951745385149
"28","NIL","carmustine","median.TOF","ECA232-ECA1114",0.999782906911591
"29","NIL","carmustine","median.TOF","N2-ECA1114",0.905227664103259
"30","NIL","carmustine","median.TOF","N2-ECA232",0.863846482166914
"31","NIL","cisplatin","median.EXT","ECA1114-CB4856",4.77662354114727e-12
"32","NIL","cisplatin","median.EXT","ECA232-CB4856",1.60069513199801e-09
"33","NIL","cisplatin","median.EXT","N2-CB4856",2.65210076122457e-12
"34","NIL","cisplatin","median.EXT","ECA232-ECA1114",0.250139759195899
"35","NIL","cisplatin","median.EXT","N2-ECA1114",0.994153083086396
"36","NIL","cisplatin","median.EXT","N2-ECA232",0.15746859863797
"37","NIL","etoposide","median.EXT","ECA1114-CB4856",3.49429977535287e-05
"38","NIL","etoposide","median.EXT","ECA232-CB4856",0.468746084419392
"39","NIL","etoposide","median.EXT","N2-CB4856",0.0290232368272688
"40","NIL","etoposide","median.EXT","ECA232-ECA1114",0.00303839609271139
"41","NIL","etoposide","median.EXT","N2-ECA1114",0.108422196082164
"42","NIL","etoposide","median.EXT","N2-ECA232",0.485099019492977
"43","NIL","silver","median.EXT","ECA1114-CB4856",2.70449894712588e-06
"44","NIL","silver","median.EXT","ECA232-CB4856",0.129939693165357
"45","NIL","silver","median.EXT","N2-CB4856",0.00493299235539391
"46","NIL","silver","median.EXT","ECA232-ECA1114",0.00348505453586745
"47","NIL","silver","median.EXT","N2-ECA1114",0.101253887703167
"48","NIL","silver","median.EXT","N2-ECA232",0.556077795058836
"49","NIL","bortezomib","median.EXT","ECA1114-CB4856",9.88841092341985e-08
"50","NIL","bortezomib","median.EXT","ECA232-CB4856",0.0569714330252156
"51","NIL","bortezomib","median.EXT","N2-CB4856",8.26672064135892e-13
"52","NIL","bortezomib","median.EXT","ECA232-ECA1114",0.000569853096576534
"53","NIL","bortezomib","median.EXT","N2-ECA1114",2.16638692651649e-07
"54","NIL","bortezomib","median.EXT","N2-ECA232",1.08701936341049e-12
"55","NIL","carmustine","median.EXT","ECA1114-CB4856",2.82622230191043e-05
"56","NIL","carmustine","median.EXT","ECA232-CB4856",0.00167792351374751
"57","NIL","carmustine","median.EXT","N2-CB4856",9.73217761934819e-09
"58","NIL","carmustine","median.EXT","ECA232-ECA1114",0.518560280269767
"59","NIL","carmustine","median.EXT","N2-ECA1114",0.130797446100995
"60","NIL","carmustine","median.EXT","N2-ECA232",0.00335206895686313
"61","NIL","cisplatin","median.norm.EXT","ECA1114-CB4856",9.02757571252799e-07
"62","NIL","cisplatin","median.norm.EXT","ECA232-CB4856",0.000314398383161607
"63","NIL","cisplatin","median.norm.EXT","N2-CB4856",1.27602335453503e-06
"64","NIL","cisplatin","median.norm.EXT","ECA232-ECA1114",0.301165347387777
"65","NIL","cisplatin","median.norm.EXT","N2-ECA1114",0.999608645545683
"66","NIL","cisplatin","median.norm.EXT","N2-ECA232",0.352693611058916
"67","NIL","etoposide","median.norm.EXT","ECA1114-CB4856",0.000681494719150799
"68","NIL","etoposide","median.norm.EXT","ECA232-CB4856",0.00978604832083785
"69","NIL","etoposide","median.norm.EXT","N2-CB4856",0.000214454220180404
"70","NIL","etoposide","median.norm.EXT","ECA232-ECA1114",0.75852535654099
"71","NIL","etoposide","median.norm.EXT","N2-ECA1114",0.993129876314019
"72","NIL","etoposide","median.norm.EXT","N2-ECA232",0.579200677715883
"73","NIL","silver","median.norm.EXT","ECA1114-CB4856",0.000123554395217051
"74","NIL","silver","median.norm.EXT","ECA232-CB4856",0.00380398874994681
"75","NIL","silver","median.norm.EXT","N2-CB4856",4.19924095079738e-05
"76","NIL","silver","median.norm.EXT","ECA232-ECA1114",0.684596027260316
"77","NIL","silver","median.norm.EXT","N2-ECA1114",0.98734007772052
"78","NIL","silver","median.norm.EXT","N2-ECA232",0.48058563014946
"79","NIL","bortezomib","median.norm.EXT","ECA1114-CB4856",0.00253401621611393
"80","NIL","bortezomib","median.norm.EXT","ECA232-CB4856",0.0089401381854658
"81","NIL","bortezomib","median.norm.EXT","N2-CB4856",6.03245675634412e-10
"82","NIL","bortezomib","median.norm.EXT","ECA232-ECA1114",0.970935337729249
"83","NIL","bortezomib","median.norm.EXT","N2-ECA1114",0.00017964496863998
"84","NIL","bortezomib","median.norm.EXT","N2-ECA232",4.27893800294399e-05
"85","NIL","carmustine","median.norm.EXT","ECA1114-CB4856",0.116437739508702
"86","NIL","carmustine","median.norm.EXT","ECA232-CB4856",0.63071586460915
"87","NIL","carmustine","median.norm.EXT","N2-CB4856",0.00472946760582393
"88","NIL","carmustine","median.norm.EXT","ECA232-ECA1114",0.681394110812494
"89","NIL","carmustine","median.norm.EXT","N2-ECA1114",0.626722244832679
"90","NIL","carmustine","median.norm.EXT","N2-ECA232",0.097462353973885
"91","NIL","bleomycin","median.TOF","ECA1114-CB4856",9.26159149372552e-12
"92","NIL","bleomycin","median.TOF","ECA232-CB4856",0.0298480292026008
"93","NIL","bleomycin","median.TOF","N2-CB4856",1.04291367547527e-05
"94","NIL","bleomycin","median.TOF","ECA232-ECA1114",1.76322936584761e-07
"95","NIL","bleomycin","median.TOF","N2-ECA1114",0.000498987726553879
"96","NIL","bleomycin","median.TOF","N2-ECA232",0.0713491470337948
"97","NIL","puromycin","median.TOF","ECA1114-CB4856",0.305514265006535
"98","NIL","puromycin","median.TOF","ECA232-CB4856",0.933454509464792
"99","NIL","puromycin","median.TOF","N2-CB4856",0.413355234906228
"100","NIL","puromycin","median.TOF","ECA232-ECA1114",0.101248007598542
"101","NIL","puromycin","median.TOF","N2-ECA1114",0.996938744316056
"102","NIL","puromycin","median.TOF","N2-ECA232",0.153377930741801
"103","NIL","amsacrine","median.TOF","ECA1114-CB4856",0.434374820685281
"104","NIL","amsacrine","median.TOF","ECA232-CB4856",0.991215953343009
"105","NIL","amsacrine","median.TOF","N2-CB4856",0.954702545547921
"106","NIL","amsacrine","median.TOF","ECA232-ECA1114",0.61252827841868
"107","NIL","amsacrine","median.TOF","N2-ECA1114",0.748053016273387
"108","NIL","amsacrine","median.TOF","N2-ECA232",0.995945636887714
"109","NIL","bleomycin","median.EXT","ECA1114-CB4856",1.10011999510107e-12
"110","NIL","bleomycin","median.EXT","ECA232-CB4856",2.2056800830228e-12
"111","NIL","bleomycin","median.EXT","N2-CB4856",1.10167430733554e-12
"112","NIL","bleomycin","median.EXT","ECA232-ECA1114",8.87770912338937e-09
"113","NIL","bleomycin","median.EXT","N2-ECA1114",0.000130465714349826
"114","NIL","bleomycin","median.EXT","N2-ECA232",0.0221728016820502
"115","NIL","puromycin","median.EXT","ECA1114-CB4856",5.56941048652781e-05
"116","NIL","puromycin","median.EXT","ECA232-CB4856",0.0321433824270864
"117","NIL","puromycin","median.EXT","N2-CB4856",1.5721843715788e-08
"118","NIL","puromycin","median.EXT","ECA232-ECA1114",0.154538372634063
"119","NIL","puromycin","median.EXT","N2-ECA1114",0.0851343163894533
"120","NIL","puromycin","median.EXT","N2-ECA232",0.000215224206901787
"121","NIL","amsacrine","median.EXT","ECA1114-CB4856",7.58820366819624e-06
"122","NIL","amsacrine","median.EXT","ECA232-CB4856",4.79065035960957e-05
"123","NIL","amsacrine","median.EXT","N2-CB4856",1.30771282691455e-10
"124","NIL","amsacrine","median.EXT","ECA232-ECA1114",0.944644273036131
"125","NIL","amsacrine","median.EXT","N2-ECA1114",0.0101786557772986
"126","NIL","amsacrine","median.EXT","N2-ECA232",0.00208048166147812
"127","NIL","bleomycin","median.norm.EXT","ECA1114-CB4856",1.10067510661338e-12
"128","NIL","bleomycin","median.norm.EXT","ECA232-CB4856",1.05363495706001e-11
"129","NIL","bleomycin","median.norm.EXT","N2-CB4856",1.17694742840513e-12
"130","NIL","bleomycin","median.norm.EXT","ECA232-ECA1114",0.00027193711201956
"131","NIL","bleomycin","median.norm.EXT","N2-ECA1114",0.0156868289836882
"132","NIL","bleomycin","median.norm.EXT","N2-ECA232",0.47489767403874
"133","NIL","puromycin","median.norm.EXT","ECA1114-CB4856",0.00319971883731995
"134","NIL","puromycin","median.norm.EXT","ECA232-CB4856",0.000258296636688859
"135","NIL","puromycin","median.norm.EXT","N2-CB4856",1.23853088895842e-08
"136","NIL","puromycin","median.norm.EXT","ECA232-ECA1114",0.843813402975745
"137","NIL","puromycin","median.norm.EXT","N2-ECA1114",0.00238262902050834
"138","NIL","puromycin","median.norm.EXT","N2-ECA232",0.0232590124325571
"139","NIL","amsacrine","median.norm.EXT","ECA1114-CB4856",0.00801607964214579
"140","NIL","amsacrine","median.norm.EXT","ECA232-CB4856",0.0744596066907064
"141","NIL","amsacrine","median.norm.EXT","N2-CB4856",1.56066243574005e-05
"142","NIL","amsacrine","median.norm.EXT","ECA232-ECA1114",0.812920579797776
"143","NIL","amsacrine","median.norm.EXT","N2-ECA1114",0.202070214371063
"144","NIL","amsacrine","median.norm.EXT","N2-ECA232",0.0294242037440632
"145","CRISPR","bortezomib","median.TOF","ECA1114-CB4856",0.169242006253611
"146","CRISPR","bortezomib","median.TOF","ECA1132-CB4856",2.53992385679247e-07
"147","CRISPR","bortezomib","median.TOF","ECA1133-CB4856",0.963369358811401
"148","CRISPR","bortezomib","median.TOF","ECA1134-CB4856",0.999999959037897
"149","CRISPR","bortezomib","median.TOF","ECA1135-CB4856",3.42403273179137e-06
"150","CRISPR","bortezomib","median.TOF","ECA232-CB4856",9.48796596844659e-13
"151","CRISPR","bortezomib","median.TOF","N2-CB4856",0.0231233496929433
"152","CRISPR","bortezomib","median.TOF","ECA1132-ECA1114",1.5709655798446e-13
"153","CRISPR","bortezomib","median.TOF","ECA1133-ECA1114",0.784256799470148
"154","CRISPR","bortezomib","median.TOF","ECA1134-ECA1114",0.106764689162544
"155","CRISPR","bortezomib","median.TOF","ECA1135-ECA1114",1.90458759874446e-12
"156","CRISPR","bortezomib","median.TOF","ECA232-ECA1114",4.65183447317941e-14
"157","CRISPR","bortezomib","median.TOF","N2-ECA1114",4.3329024246308e-07
"158","CRISPR","bortezomib","median.TOF","ECA1133-ECA1132",5.62895841049738e-10
"159","CRISPR","bortezomib","median.TOF","ECA1134-ECA1132",2.40350752078733e-07
"160","CRISPR","bortezomib","median.TOF","ECA1135-ECA1132",0.999440511191763
"161","CRISPR","bortezomib","median.TOF","ECA232-ECA1132",0.332342343607266
"162","CRISPR","bortezomib","median.TOF","N2-ECA1132",0.132908291332695
"163","CRISPR","bortezomib","median.TOF","ECA1134-ECA1133",0.923619411229716
"164","CRISPR","bortezomib","median.TOF","ECA1135-ECA1133",1.04112077847773e-08
"165","CRISPR","bortezomib","median.TOF","ECA232-ECA1133",8.40438829641244e-14
"166","CRISPR","bortezomib","median.TOF","N2-ECA1133",0.000440705458660706
"167","CRISPR","bortezomib","median.TOF","ECA1135-ECA1134",3.45438180360258e-06
"168","CRISPR","bortezomib","median.TOF","ECA232-ECA1134",6.55697718343617e-13
"169","CRISPR","bortezomib","median.TOF","N2-ECA1134",0.0273647075061495
"170","CRISPR","bortezomib","median.TOF","ECA232-ECA1135",0.106059577716164
"171","CRISPR","bortezomib","median.TOF","N2-ECA1135",0.380870365227911
"172","CRISPR","bortezomib","median.TOF","N2-ECA232",5.36061068651117e-05
"173","CRISPR","carmustine","median.TOF","ECA1114-CB4856",0.997397208996649
"174","CRISPR","carmustine","median.TOF","ECA1132-CB4856",0.718279420287915
"175","CRISPR","carmustine","median.TOF","ECA1133-CB4856",0.99997045589523
"176","CRISPR","carmustine","median.TOF","ECA1134-CB4856",0.367055215645568
"177","CRISPR","carmustine","median.TOF","ECA1135-CB4856",0.99998317143804
"178","CRISPR","carmustine","median.TOF","ECA232-CB4856",0.577273337355615
"179","CRISPR","carmustine","median.TOF","N2-CB4856",0.999993958209807
"180","CRISPR","carmustine","median.TOF","ECA1132-ECA1114",0.268037825227375
"181","CRISPR","carmustine","median.TOF","ECA1133-ECA1114",0.999970190393443
"182","CRISPR","carmustine","median.TOF","ECA1134-ECA1114",0.794583771657869
"183","CRISPR","carmustine","median.TOF","ECA1135-ECA1114",0.972079867099619
"184","CRISPR","carmustine","median.TOF","ECA232-ECA1114",0.929050967505988
"185","CRISPR","carmustine","median.TOF","N2-ECA1114",0.999905012997935
