"","var","estimate","ci_lower","ci_upper","prob","probe","marker","trait","probe_lod"
"1","med",-0.0171328201561203,-0.156744335434493,0.164067311426261,0.908,"A_12_P101037","V_9905233","carmustine_median.EXT",5.54942914962203
"2","direct",-0.0593171452941112,-0.448250543079308,0.322921156448545,0.744,"A_12_P101037","V_9905233","carmustine_median.EXT",5.54942914962203
"3","total",-0.0764499654502315,-0.445428761343758,0.282126623800494,0.716,"A_12_P101037","V_9905233","carmustine_median.EXT",5.54942914962203
"4","prop_med",0.224105008487854,-5.50467233325803,5.78195434127643,0.868,"A_12_P101037","V_9905233","carmustine_median.EXT",5.54942914962203
"5","med",-0.0106951998717742,-0.240835611382667,0.236204002396458,0.982,"A_12_P101050","V_11513193","carmustine_median.EXT",14.9459239841448
"6","direct",-0.0143428908533385,-0.427424724262411,0.382607150423569,0.952,"A_12_P101050","V_11513193","carmustine_median.EXT",14.9459239841448
"7","total",-0.0250380907251126,-0.375964602658568,0.321390395217378,0.908,"A_12_P101050","V_11513193","carmustine_median.EXT",14.9459239841448
"8","prop_med",0.427157165823635,-10.6875369393818,8.08048567212879,0.918,"A_12_P101050","V_11513193","carmustine_median.EXT",14.9459239841448
"9","med",0.116203564076093,-0.0291071969296049,0.30011207567872,0.108,"A_12_P101333","V_11637718","carmustine_median.EXT",5.24253993743461
"10","direct",-0.0750384695197314,-0.479608016534824,0.348021383792452,0.678,"A_12_P101333","V_11637718","carmustine_median.EXT",5.24253993743461
"11","total",0.0411650945563614,-0.308690623538095,0.409706322541064,0.826,"A_12_P101333","V_11637718","carmustine_median.EXT",5.24253993743461
"12","prop_med",2.82286644372921,-10.1023289735322,12.4129186215516,0.894,"A_12_P101333","V_11637718","carmustine_median.EXT",5.24253993743461
"13","med",-0.140019391622946,-0.300517289963219,-0.0149801072820152,0.024,"A_12_P101810","V_9104120","carmustine_median.EXT",5.54420130914751
"14","direct",0.115183894379325,-0.248248762876114,0.497793170064967,0.476,"A_12_P101810","V_9104120","carmustine_median.EXT",5.54420130914751
"15","total",-0.0248354972436211,-0.366247686255218,0.344568761586007,0.948,"A_12_P101810","V_9104120","carmustine_median.EXT",5.54420130914751
"16","prop_med",5.63787349411374,-13.8536033659529,11.6981362680834,0.952,"A_12_P101810","V_9104120","carmustine_median.EXT",5.54420130914751
"17","med",0.0483836855803539,-0.072211750021509,0.191536510491896,0.422,"A_12_P102257","V_11513193","carmustine_median.EXT",5.32470275089042
"18","direct",-0.0734217763054665,-0.412608710926886,0.260170907651967,0.664,"A_12_P102257","V_11513193","carmustine_median.EXT",5.32470275089042
"19","total",-0.0250380907251126,-0.375167138718078,0.327351613609691,0.882,"A_12_P102257","V_11513193","carmustine_median.EXT",5.32470275089042
"20","prop_med",-1.93240315771467,-6.00737083041378,5.01633144260603,0.944,"A_12_P102257","V_11513193","carmustine_median.EXT",5.32470275089042
"21","med",0.134200351984149,-0.0342885501464872,0.382224173721404,0.128,"A_12_P102323","V_10220682","carmustine_median.EXT",5.27865532809868
"22","direct",-0.236224656166245,-0.69925495565552,0.212932247126038,0.28,"A_12_P102323","V_10220682","carmustine_median.EXT",5.27865532809868
"23","total",-0.102024304182096,-0.478997888645414,0.299002250571143,0.542,"A_12_P102323","V_10220682","carmustine_median.EXT",5.27865532809868
"24","prop_med",-1.31537630234286,-9.66330871186021,7.54351633691136,0.55,"A_12_P102323","V_10220682","carmustine_median.EXT",5.27865532809868
"25","med",-0.0186699341567258,-0.238875620302716,0.210424380083221,0.84,"A_12_P102400","V_11513193","carmustine_median.EXT",5.95378938939411
"26","direct",-0.00636815656838674,-0.502173419807019,0.466571708086452,0.982,"A_12_P102400","V_11513193","carmustine_median.EXT",5.95378938939411
"27","total",-0.0250380907251125,-0.393968565877987,0.300397472154639,0.876,"A_12_P102400","V_11513193","carmustine_median.EXT",5.95378938939411
"28","prop_med",0.745661255153148,-8.53536381967874,5.97199689698086,0.74,"A_12_P102400","V_11513193","carmustine_median.EXT",5.95378938939411
