"","var","estimate","ci_lower","ci_upper","prob","probe","marker","trait","probe_lod"
"29","med",0.033152543967463,-0.243803545315195,0.30018232658879,0.812,"A_12_P102599","V_10568558","carmustine_median.EXT",14.8062658710452
"30","direct",-0.0538805483996594,-0.506996172804365,0.415556467923485,0.846,"A_12_P102599","V_10568558","carmustine_median.EXT",14.8062658710452
"31","total",-0.0207280044321965,-0.392355422182813,0.338080089431593,0.954,"A_12_P102599","V_10568558","carmustine_median.EXT",14.8062658710452
"32","prop_med",-1.5994083789353,-9.90036847931951,8.39605632415479,0.942,"A_12_P102599","V_10568558","carmustine_median.EXT",14.8062658710452
"33","med",-0.0300390313255622,-0.181094707416574,0.127057465635975,0.678,"A_12_P102966","V_11513193","carmustine_median.EXT",5.96969959478076
"34","direct",0.00500094060044969,-0.394809917221222,0.418247568117777,0.946,"A_12_P102966","V_11513193","carmustine_median.EXT",5.96969959478076
"35","total",-0.0250380907251125,-0.37444185417113,0.326629491139413,0.932,"A_12_P102966","V_11513193","carmustine_median.EXT",5.96969959478076
"36","prop_med",1.19973330456199,-5.13196182345822,4.4351229074126,0.886,"A_12_P102966","V_11513193","carmustine_median.EXT",5.96969959478076
"37","med",-0.0158518480970013,-0.161603710424977,0.133041981894006,0.81,"A_12_P103840","V_11619117","carmustine_median.EXT",4.22521992953811
"38","direct",-0.0112236581625184,-0.35516707660901,0.336716341596893,0.954,"A_12_P103840","V_11619117","carmustine_median.EXT",4.22521992953811
"39","total",-0.0270755062595197,-0.378241652266681,0.30708165557655,0.882,"A_12_P103840","V_11619117","carmustine_median.EXT",4.22521992953811
"40","prop_med",0.585468206764475,-3.7938852960265,8.69147271401425,0.832,"A_12_P103840","V_11619117","carmustine_median.EXT",4.22521992953811
"41","med",0.245228557184826,-0.176201406152618,0.718758410758561,0.284,"A_12_P104350","V_10838024","carmustine_median.EXT",21.9552714440933
"42","direct",-0.282060359176719,-0.86348769891109,0.250573652408623,0.326,"A_12_P104350","V_10838024","carmustine_median.EXT",21.9552714440933
"43","total",-0.0368318019918931,-0.384417957361022,0.305917634004589,0.824,"A_12_P104350","V_10838024","carmustine_median.EXT",21.9552714440933
"44","prop_med",-6.65806569113295,-17.3832189236892,19.1628455805162,0.888,"A_12_P104350","V_10838024","carmustine_median.EXT",21.9552714440933
"45","med",0.0742446561945003,-0.0831336305024428,0.285225257819727,0.384,"A_12_P104714","V_11032432","carmustine_median.EXT",5.64135814483942
"46","direct",-0.111076458186394,-0.54043866592246,0.244578367363005,0.6,"A_12_P104714","V_11032432","carmustine_median.EXT",5.64135814483942
"47","total",-0.0368318019918934,-0.404544708728727,0.296319027286305,0.842,"A_12_P104714","V_11032432","carmustine_median.EXT",5.64135814483942
"48","prop_med",-2.01577582901975,-9.13324572777639,8.80984165418396,0.886,"A_12_P104714","V_11032432","carmustine_median.EXT",5.64135814483942
"49","med",0.0112999081554033,-0.179745642960005,0.203708027113769,0.954,"A_12_P104798","V_10220682","carmustine_median.EXT",5.19922816287754
"50","direct",-0.0979144367978993,-0.507970940455433,0.275048876474113,0.618,"A_12_P104798","V_10220682","carmustine_median.EXT",5.19922816287754
"51","total",-0.086614528642496,-0.480769646192732,0.266071217694948,0.62,"A_12_P104798","V_10220682","carmustine_median.EXT",5.19922816287754
"52","prop_med",-0.130462040635746,-5.65557112774261,6.30012130659708,0.966,"A_12_P104798","V_10220682","carmustine_median.EXT",5.19922816287754
"53","med",0.0580508377335214,-0.0685224618049485,0.214933699592732,0.37,"A_12_P105501","V_11032432","carmustine_median.EXT",4.03698629073079
"54","direct",-0.0948826397254148,-0.509534569320233,0.300573698271045,0.638,"A_12_P105501","V_11032432","carmustine_median.EXT",4.03698629073079
"55","total",-0.0368318019918934,-0.395562165292494,0.313618687295412,0.808,"A_12_P105501","V_11032432","carmustine_median.EXT",4.03698629073079
"56","prop_med",-1.57610636987835,-5.63841263140537,6.67356808236431,0.798,"A_12_P105501","V_11032432","carmustine_median.EXT",4.03698629073079
"57","med",0.0979693235917403,-0.0879814494184279,0.252909629078637,0.252,"A_12_P105532","V_9663270","carmustine_median.EXT",5.08277822503624
"58","direct",-0.135488020752933,-0.486312407652443,0.20351414543736,0.488,"A_12_P105532","V_9663270","carmustine_median.EXT",5.08277822503624
"59","total",-0.0375186971611927,-0.399092541929191,0.286174929701716,0.828,"A_12_P105532","V_9663270","carmustine_median.EXT",5.08277822503624
"60","prop_med",-2.61121336838621,-7.80327470137948,10.9100758585733,0.94,"A_12_P105532","V_9663270","carmustine_median.EXT",5.08277822503624
"61","med",0.0769114065765162,-0.054412709461488,0.235776282432116,0.272,"A_12_P106245","V_10815911","carmustine_median.EXT",4.16048388832108
"62","direct",-0.12295714898023,-0.5374883396815,0.305871594671153,0.556,"A_12_P106245","V_10815911","carmustine_median.EXT",4.16048388832108
"63","total",-0.0460457424037134,-0.40054174701825,0.345707524874551,0.812,"A_12_P106245","V_10815911","carmustine_median.EXT",4.16048388832108
"64","prop_med",-1.6703261270539,-7.06540944708158,7.95088607366172,0.804,"A_12_P106245","V_10815911","carmustine_median.EXT",4.16048388832108
"65","med",0.162021562610776,0.0137708066910899,0.351190329943337,0.028,"A_12_P107338","V_10142996","carmustine_median.EXT",4.44777576579725
"66","direct",-0.288692819239241,-0.644278825102827,0.0897016353871606,0.144,"A_12_P107338","V_10142996","carmustine_median.EXT",4.44777576579725
"67","total",-0.126671256628466,-0.469282266512066,0.238859354706916,0.494,"A_12_P107338","V_10142996","carmustine_median.EXT",4.44777576579725
"68","prop_med",-1.27907125044156,-9.51535039958208,13.3136606981734,0.51,"A_12_P107338","V_10142996","carmustine_median.EXT",4.44777576579725
"69","med",0.0587821321467641,-0.114429599588057,0.30598890867877,0.614,"A_12_P107404","V_11600826","carmustine_median.EXT",4.21986325296123
"70","direct",-0.0928330660746697,-0.491326753102778,0.286537109378353,0.662,"A_12_P107404","V_11600826","carmustine_median.EXT",4.21986325296123
"71","total",-0.0340509339279056,-0.365392892118979,0.336328367257925,0.878,"A_12_P107404","V_11600826","carmustine_median.EXT",4.21986325296123
"72","prop_med",-1.72630014410825,-7.85626943425334,6.13672901418716,0.916,"A_12_P107404","V_11600826","carmustine_median.EXT",4.21986325296123
"73","med",-0.0532726352141782,-0.185810348050681,0.0954692978558157,0.446,"A_12_P109101","V_9905233","carmustine_median.EXT",7.80369452570406
"74","direct",-0.0231773302360535,-0.446057083720151,0.359046222334064,0.936,"A_12_P109101","V_9905233","carmustine_median.EXT",7.80369452570406
"75","total",-0.0764499654502317,-0.42893385448099,0.249268688723784,0.714,"A_12_P109101","V_9905233","carmustine_median.EXT",7.80369452570406
"76","prop_med",0.696830075729181,-7.10768105561632,6.03997840323258,0.92,"A_12_P109101","V_9905233","carmustine_median.EXT",7.80369452570406
"77","med",0.0186167182393926,-0.0797504914760898,0.127089657900771,0.65,"A_12_P109658","V_10176051","carmustine_median.EXT",3.97494323558793
"78","direct",-0.105231246881889,-0.44585870207536,0.276763251215057,0.586,"A_12_P109658","V_10176051","carmustine_median.EXT",3.97494323558793
"79","total",-0.0866145286424961,-0.44100313449897,0.308048679955835,0.674,"A_12_P109658","V_10176051","carmustine_median.EXT",3.97494323558793
"80","prop_med",-0.214937592239676,-3.44165562576872,3.36244995835358,0.976,"A_12_P109658","V_10176051","carmustine_median.EXT",3.97494323558793
"81","med",0.150976559870564,0.0152020067118234,0.312498234095959,0.028,"A_12_P111065","V_9985933","carmustine_median.EXT",4.70539611117011
"82","direct",-0.203898485639757,-0.569378559732485,0.173006920017756,0.294,"A_12_P111065","V_9985933","carmustine_median.EXT",4.70539611117011
"83","total",-0.0529219257691925,-0.408721032224443,0.333537913412139,0.828,"A_12_P111065","V_9985933","carmustine_median.EXT",4.70539611117011
"84","prop_med",-2.85281681791052,-16.5902108994551,16.7367589814919,0.844,"A_12_P111065","V_9985933","carmustine_median.EXT",4.70539611117011
"85","med",-0.205544306699938,-0.507422363618993,0.101739180455769,0.174,"A_12_P111998","V_10815911","carmustine_median.EXT",20.721463482804
"86","direct",0.168712504708044,-0.343041390918366,0.701061520080302,0.512,"A_12_P111998","V_10815911","carmustine_median.EXT",20.721463482804
"87","total",-0.0368318019918935,-0.397903218816744,0.333389078337141,0.926,"A_12_P111998","V_10815911","carmustine_median.EXT",20.721463482804
"88","prop_med",5.58062043082163,-25.3070220919499,10.113544900645,0.968,"A_12_P111998","V_10815911","carmustine_median.EXT",20.721463482804
"89","med",0.055740674268574,-0.0658883423543669,0.197574409440632,0.31,"A_12_P112263","V_10815911","carmustine_median.EXT",4.18346163908181
"90","direct",-0.0925724762604674,-0.491039748123547,0.277304411579111,0.642,"A_12_P112263","V_10815911","carmustine_median.EXT",4.18346163908181
"91","total",-0.0368318019918934,-0.410492345112052,0.296520775676809,0.862,"A_12_P112263","V_10815911","carmustine_median.EXT",4.18346163908181
"92","prop_med",-1.51338439213054,-5.94005748125828,5.37692419696346,0.86,"A_12_P112263","V_10815911","carmustine_median.EXT",4.18346163908181
"93","med",-0.0336860476020079,-0.179207664007653,0.146384266210136,0.724,"A_12_P112758","V_8947708","carmustine_median.EXT",5.33751901281962
"94","direct",-0.000577499121931734,-0.366420716238507,0.363565326288063,0.954,"A_12_P112758","V_8947708","carmustine_median.EXT",5.33751901281962
"95","total",-0.0342635467239396,-0.366724596912388,0.331192372919707,0.832,"A_12_P112758","V_8947708","carmustine_median.EXT",5.33751901281962
"96","prop_med",0.983145378189111,-4.68053110610809,9.13658461743792,0.888,"A_12_P112758","V_8947708","carmustine_median.EXT",5.33751901281962
"97","med",0.133750493339338,-0.0250059774012186,0.327285270268996,0.094,"A_12_P114129","V_9985933","carmustine_median.EXT",9.7576065427263
"98","direct",-0.186672419108531,-0.588859109220691,0.193647675680274,0.308,"A_12_P114129","V_9985933","carmustine_median.EXT",9.7576065427263
"99","total",-0.0529219257691925,-0.417059010043433,0.300400011657211,0.76,"A_12_P114129","V_9985933","carmustine_median.EXT",9.7576065427263
"100","prop_med",-2.52731720162003,-10.524558468138,13.1706242326188,0.79,"A_12_P114129","V_9985933","carmustine_median.EXT",9.7576065427263
"101","med",0.00557476626062159,-0.15841196813056,0.196307047278517,0.986,"A_12_P114276","V_9529886","carmustine_median.EXT",5.00803828442342
"102","direct",-0.0434904850042018,-0.400752052939162,0.290550915055854,0.808,"A_12_P114276","V_9529886","carmustine_median.EXT",5.00803828442342
"103","total",-0.0379157187435802,-0.397441994612263,0.306751237502751,0.816,"A_12_P114276","V_9529886","carmustine_median.EXT",5.00803828442342
"104","prop_med",-0.147030478264783,-5.07099820028656,4.45751509604866,0.862,"A_12_P114276","V_9529886","carmustine_median.EXT",5.00803828442342
"105","med",-0.0764568265169873,-0.51473498453535,0.473054206954101,0.732,"A_12_P115328","V_10568558","carmustine_median.EXT",37.7379772981239
"106","direct",0.055728822084791,-0.598170329693617,0.523643569190404,0.794,"A_12_P115328","V_10568558","carmustine_median.EXT",37.7379772981239
"107","total",-0.0207280044321963,-0.385137177536063,0.345166064512993,0.896,"A_12_P115328","V_10568558","carmustine_median.EXT",37.7379772981239
"108","prop_med",3.6885763300122,-12.6622472527607,16.499708835131,0.836,"A_12_P115328","V_10568558","carmustine_median.EXT",37.7379772981239
"109","med",0.035722994785868,-0.108134417746038,0.198706703319089,0.69,"A_12_P115684","V_11513193","carmustine_median.EXT",5.04390424359925
"110","direct",-0.0607610855109805,-0.44548058510167,0.337573317152039,0.814,"A_12_P115684","V_11513193","carmustine_median.EXT",5.04390424359925
"111","total",-0.0250380907251125,-0.376709711724034,0.331797047796429,0.916,"A_12_P115684","V_11513193","carmustine_median.EXT",5.04390424359925
"112","prop_med",-1.42674595990815,-3.44533934030685,7.178142848394,0.954,"A_12_P115684","V_11513193","carmustine_median.EXT",5.04390424359925
"113","med",0.261436915908108,0.0345231353503705,0.561477994272703,0.022,"A_12_P115700","V_8947708","carmustine_median.EXT",14.0987821323047
"114","direct",-0.237074514475131,-0.67640947597918,0.1882852481796,0.28,"A_12_P115700","V_8947708","carmustine_median.EXT",14.0987821323047
"115","total",0.0243624014329765,-0.310958360341465,0.378488221291131,0.85,"A_12_P115700","V_8947708","carmustine_median.EXT",14.0987821323047
"116","prop_med",10.7311636181412,-26.3064746468047,22.6641628336126,0.852,"A_12_P115700","V_8947708","carmustine_median.EXT",14.0987821323047
"117","med",0.0467408020934011,-0.0797105225307987,0.258573881962993,0.512,"A_12_P116766","V_10121039","carmustine_median.EXT",5.04508407735454
"118","direct",-0.156333192862666,-0.533048887620846,0.199989451779016,0.378,"A_12_P116766","V_10121039","carmustine_median.EXT",5.04508407735454
"119","total",-0.109592390769265,-0.454328697918098,0.281241412503942,0.614,"A_12_P116766","V_10121039","carmustine_median.EXT",5.04508407735454
"120","prop_med",-0.42649678289991,-5.09173619718183,7.06268170966505,0.922,"A_12_P116766","V_10121039","carmustine_median.EXT",5.04508407735454
"121","med",-0.0338569677963526,-0.222571081535965,0.173531433090559,0.706,"A_12_P116989","V_11637718","carmustine_median.EXT",4.96321485202013
"122","direct",0.0915936390859663,-0.315839362482445,0.475765530673207,0.666,"A_12_P116989","V_11637718","carmustine_median.EXT",4.96321485202013
"123","total",0.0577366712896136,-0.284125062725077,0.406715366705405,0.756,"A_12_P116989","V_11637718","carmustine_median.EXT",4.96321485202013
"124","prop_med",-0.58640318258949,-7.05572284290937,6.80406201046519,0.902,"A_12_P116989","V_11637718","carmustine_median.EXT",4.96321485202013
"125","med",-0.00605612229623818,-0.138494041946838,0.108037292935889,0.858,"A_12_P117115","V_11637718","carmustine_median.EXT",5.3396084860109
"126","direct",0.0472212168525997,-0.335389163016897,0.41382549638517,0.766,"A_12_P117115","V_11637718","carmustine_median.EXT",5.3396084860109
"127","total",0.0411650945563615,-0.326713360947654,0.385238494630419,0.836,"A_12_P117115","V_11637718","carmustine_median.EXT",5.3396084860109
"128","prop_med",-0.147117900772617,-3.70490900237022,3.67402822986285,0.93,"A_12_P117115","V_11637718","carmustine_median.EXT",5.3396084860109
"129","med",-0.00680976586827063,-0.141590290040602,0.136243493527818,0.888,"A_12_P117478","V_11637718","carmustine_median.EXT",5.69751060789391
"130","direct",0.0479748604246322,-0.303396825394549,0.418921675795583,0.832,"A_12_P117478","V_11637718","carmustine_median.EXT",5.69751060789391
"131","total",0.0411650945563616,-0.298914572370187,0.390949149397843,0.85,"A_12_P117478","V_11637718","carmustine_median.EXT",5.69751060789391
"132","prop_med",-0.165425731233217,-3.45801191982538,5.89423976301228,0.922,"A_12_P117478","V_11637718","carmustine_median.EXT",5.69751060789391
"133","med",0.033752910596845,-0.167097884004266,0.193581808643663,0.79,"A_12_P117590","V_11637718","carmustine_median.EXT",3.94451000363491
"134","direct",0.00741218395951645,-0.351018728704586,0.38668782684356,0.918,"A_12_P117590","V_11637718","carmustine_median.EXT",3.94451000363491
"135","total",0.0411650945563614,-0.312473009066884,0.36413386244276,0.828,"A_12_P117590","V_11637718","carmustine_median.EXT",3.94451000363491
"136","prop_med",0.819940072058671,-7.1856122988298,6.51432791197779,0.946,"A_12_P117590","V_11637718","carmustine_median.EXT",3.94451000363491
"137","med",0.0387799181288144,-0.102130110423019,0.186518885628351,0.56,"A_12_P118102","V_11032432","carmustine_median.EXT",4.43462030782989
"138","direct",-0.0756117201207078,-0.448445461509556,0.264183361646118,0.708,"A_12_P118102","V_11032432","carmustine_median.EXT",4.43462030782989
"139","total",-0.0368318019918934,-0.394389945209386,0.314059036933203,0.84,"A_12_P118102","V_11032432","carmustine_median.EXT",4.43462030782989
"140","prop_med",-1.05289222985478,-5.24262957336625,5.3417797703996,0.996,"A_12_P118102","V_11032432","carmustine_median.EXT",4.43462030782989
"141","med",-0.0126186645837733,-0.137171441591421,0.12485434495788,0.822,"A_12_P118240","V_9985933","carmustine_median.EXT",6.8850784526251
"142","direct",-0.0262910013065491,-0.448099211575979,0.333430352676579,0.882,"A_12_P118240","V_9985933","carmustine_median.EXT",6.8850784526251
"143","total",-0.0389096658903224,-0.425559107184587,0.305953988628107,0.834,"A_12_P118240","V_9985933","carmustine_median.EXT",6.8850784526251
"144","prop_med",0.324306680487632,-3.38676689931121,4.50119428346633,0.98,"A_12_P118240","V_9985933","carmustine_median.EXT",6.8850784526251
"145","med",0.018519355086152,-0.210719722322293,0.3069604799502,0.856,"A_12_P118743","V_9985933","carmustine_median.EXT",11.9613287700509
"146","direct",-0.0714412808553445,-0.58407973475138,0.428188315754806,0.752,"A_12_P118743","V_9985933","carmustine_median.EXT",11.9613287700509
"147","total",-0.0529219257691925,-0.411047401299646,0.33084166330348,0.782,"A_12_P118743","V_9985933","carmustine_median.EXT",11.9613287700509
"148","prop_med",-0.349937286237846,-10.2949380603933,10.4662003011092,0.81,"A_12_P118743","V_9985933","carmustine_median.EXT",11.9613287700509
"149","med",0.0576574385179236,-0.152006279029908,0.292907079821204,0.544,"A_12_P118758","V_10121039","carmustine_median.EXT",5.29118560420262
"150","direct",-0.148305118442387,-0.508826117479668,0.209911426553668,0.454,"A_12_P118758","V_10121039","carmustine_median.EXT",5.29118560420262
"151","total",-0.0906476799244637,-0.439763483767887,0.272011240794925,0.646,"A_12_P118758","V_10121039","carmustine_median.EXT",5.29118560420262
"152","prop_med",-0.636060829863149,-7.0532202278636,6.41060167300701,0.998,"A_12_P118758","V_10121039","carmustine_median.EXT",5.29118560420262
"153","med",-0.0124185614202969,-0.205073826659212,0.164265866331812,0.926,"A_12_P119353","V_11032432","carmustine_median.EXT",3.94707020738879
"154","direct",-0.0244132405715965,-0.382770089370608,0.328282949331883,0.862,"A_12_P119353","V_11032432","carmustine_median.EXT",3.94707020738879
"155","total",-0.0368318019918934,-0.379399532001561,0.322110531362456,0.806,"A_12_P119353","V_11032432","carmustine_median.EXT",3.94707020738879
"156","prop_med",0.337169531456272,-6.90323093920288,5.68452468341856,0.788,"A_12_P119353","V_11032432","carmustine_median.EXT",3.94707020738879
"157","med",-0.143098648636078,-0.37110541376725,0.120218694461121,0.272,"A_12_P119459","V_11085892","carmustine_median.EXT",17.3932706621954
"158","direct",0.106266846644184,-0.421650812094317,0.533444254803248,0.654,"A_12_P119459","V_11085892","carmustine_median.EXT",17.3932706621954
"159","total",-0.0368318019918936,-0.419099927772976,0.327229214770283,0.808,"A_12_P119459","V_11085892","carmustine_median.EXT",17.3932706621954
"160","prop_med",3.88519271111342,-11.4054928872388,17.6367486035843,0.856,"A_12_P119459","V_11085892","carmustine_median.EXT",17.3932706621954
"161","med",0.0453967835019655,-0.16707889131997,0.290830219635505,0.75,"A_12_P119747","V_9104120","carmustine_median.EXT",6.03117441615209
"162","direct",-0.0553800499205628,-0.525835960337115,0.365819244297544,0.814,"A_12_P119747","V_9104120","carmustine_median.EXT",6.03117441615209
"163","total",-0.00998326641859724,-0.378718927275525,0.319468109390721,0.934,"A_12_P119747","V_9104120","carmustine_median.EXT",6.03117441615209
"164","prop_med",-4.54728759090296,-9.84140466006553,5.77071483098329,0.896,"A_12_P119747","V_9104120","carmustine_median.EXT",6.03117441615209
"165","med",-0.0699124477489231,-0.202001337300331,0.100758603312071,0.374,"A_12_P119893","V_9905233","carmustine_median.EXT",3.9002301179017
"166","direct",-0.00653751770130865,-0.40792440573142,0.362135954310503,0.984,"A_12_P119893","V_9905233","carmustine_median.EXT",3.9002301179017
"167","total",-0.0764499654502317,-0.416945564181095,0.271508407057239,0.67,"A_12_P119893","V_9905233","carmustine_median.EXT",3.9002301179017
"168","prop_med",0.914486322357274,-7.34752919726036,9.34599970690658,0.808,"A_12_P119893","V_9905233","carmustine_median.EXT",3.9002301179017
"169","med",-0.0101130405967881,-0.0710783123338218,0.0384014337632456,0.766,"A_12_P106753","V_9905233","carmustine_median.EXT",5.42571312418689
"170","direct",-0.0182118413229086,-0.395102687324584,0.342689576933819,0.93,"A_12_P106753","V_9905233","carmustine_median.EXT",5.42571312418689
"171","total",-0.0283248819196966,-0.405752326765462,0.338838899830164,0.91,"A_12_P106753","V_9905233","carmustine_median.EXT",5.42571312418689
"172","prop_med",0.357037343543368,-1.2534325383791,1.23191098608656,0.904,"A_12_P106753","V_9905233","carmustine_median.EXT",5.42571312418689
"173","med",-0.00134845888044623,-0.0577281482833027,0.0480057363668227,0.976,"A_12_P106853","V_11513193","carmustine_median.EXT",15.0433383925245
"174","direct",-0.0236896318446664,-0.377144451263769,0.314492375213306,0.86,"A_12_P106853","V_11513193","carmustine_median.EXT",15.0433383925245
"175","total",-0.0250380907251126,-0.373217672310239,0.328193572309559,0.868,"A_12_P106853","V_11513193","carmustine_median.EXT",15.0433383925245
"176","prop_med",0.0538562981998367,-1.21824150311029,1.42670558925095,0.912,"A_12_P106853","V_11513193","carmustine_median.EXT",15.0433383925245
"177","med",0.0234624160563304,-0.0298630209704665,0.12446043498195,0.388,"A_12_P114311","V_11513193","carmustine_median.EXT",5.22622084029529
"178","direct",-0.0485005067814431,-0.42087377127749,0.279994148701004,0.758,"A_12_P114311","V_11513193","carmustine_median.EXT",5.22622084029529
"179","total",-0.0250380907251126,-0.407467013798191,0.324691003834869,0.882,"A_12_P114311","V_11513193","carmustine_median.EXT",5.22622084029529
"180","prop_med",-0.937068896902676,-3.10447058524412,3.41039321101486,0.982,"A_12_P114311","V_11513193","carmustine_median.EXT",5.22622084029529
"181","med",0.0032041179385051,-0.0757934525084888,0.0837597914260788,0.922,"A_12_P114794","V_10220682","carmustine_median.EXT",5.32755694345553
"182","direct",-0.089818646581001,-0.430237936278664,0.289371514520648,0.648,"A_12_P114794","V_10220682","carmustine_median.EXT",5.32755694345553
"183","total",-0.0866145286424959,-0.424277185559876,0.283565774790743,0.65,"A_12_P114794","V_10220682","carmustine_median.EXT",5.32755694345553
"184","prop_med",-0.0369928462201785,-1.53881229783328,1.25244667432816,0.896,"A_12_P114794","V_10220682","carmustine_median.EXT",5.32755694345553
"185","med",-0.0041409120420966,-0.102202844625654,0.0994698523827606,0.884,"A_12_P115203","V_11513193","carmustine_median.EXT",5.94679332502483
"186","direct",-0.0785544966155565,-0.466525275699202,0.29704628331931,0.666,"A_12_P115203","V_11513193","carmustine_median.EXT",5.94679332502483
"187","total",-0.0826954086576531,-0.449100815644967,0.264705220454474,0.614,"A_12_P115203","V_11513193","carmustine_median.EXT",5.94679332502483
"188","prop_med",0.050074267838005,-1.73905445302413,2.40200459892835,0.906,"A_12_P115203","V_11513193","carmustine_median.EXT",5.94679332502483
"189","med",-0.00326906409451336,-0.0465184030399947,0.0324889171336689,0.83,"A_12_P116575","V_10568558","carmustine_median.EXT",14.8356158701609
"190","direct",0.0342338945380438,-0.327265342352648,0.382902858973186,0.89,"A_12_P116575","V_10568558","carmustine_median.EXT",14.8356158701609
"191","total",0.0309648304435305,-0.324801616075284,0.382466472707539,0.894,"A_12_P116575","V_10568558","carmustine_median.EXT",14.8356158701609
"192","prop_med",-0.105573453743758,-0.864430945772002,1.29286997834288,0.956,"A_12_P116575","V_10568558","carmustine_median.EXT",14.8356158701609
"193","med",0.03540941941061,-0.0686907032323522,0.194758417842513,0.562,"A_12_P118954","V_11513193","carmustine_median.EXT",5.82085136985965
"194","direct",-0.0604475101357226,-0.422113154515974,0.29627250527513,0.728,"A_12_P118954","V_11513193","carmustine_median.EXT",5.82085136985965
"195","total",-0.0250380907251126,-0.367317922620891,0.327687435394357,0.882,"A_12_P118954","V_11513193","carmustine_median.EXT",5.82085136985965
"196","prop_med",-1.41422202672567,-7.82973548684221,5.96587512336061,0.996,"A_12_P118954","V_11513193","carmustine_median.EXT",5.82085136985965
"197","med",0.00907183514546425,-0.146413863389008,0.154302842472219,0.924,"A_12_P101037","V_9905233","carmustine_median.norm.EXT",5.54942914962203
